id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-09-28 11:47:10,"{""short_code"":""brcPtw"",""original_url"":""https://relay.cloud/mellow/anchor/1""}"
2,2,72,created,2025-03-09 16:01:52,"{""short_code"":""qFy9ji"",""original_url"":""https://opswise.net/clear/orbit/2""}"
3,3,144,created,2025-12-23 21:03:03,"{""short_code"":""9J2qVB"",""original_url"":""https://acme.dev/clear/delta/3""}"
4,4,277,created,2025-06-10 05:18:19,"{""short_code"":""bOVlo4"",""original_url"":""https://seeded.app/clear/yard/4""}"
5,5,199,created,2025-08-12 22:38:29,"{""short_code"":""EN9whH"",""original_url"":""https://acme.dev/amber/harvest/5""}"
6,6,117,created,2025-02-12 15:23:03,"{""short_code"":""sVvXvj"",""original_url"":""https://opswise.net/tidy/island/6""}"
7,7,94,created,2025-12-12 02:02:33,"{""short_code"":""iukjYT"",""original_url"":""https://acme.dev/brisk/island/7""}"
8,8,198,created,2025-04-19 14:03:09,"{""short_code"":""0k1Ig8"",""original_url"":""https://relay.cloud/quiet/quartz/8""}"
9,9,282,created,2026-02-19 04:45:34,"{""short_code"":""0JvmEd"",""original_url"":""https://relay.cloud/clear/engine/9""}"
10,10,178,created,2025-10-25 10:29:33,"{""short_code"":""CzRVx9"",""original_url"":""https://relay.cloud/silver/window/10""}"
11,11,152,created,2025-02-25 10:25:17,"{""short_code"":""zT1Cqb"",""original_url"":""https://hackstack.io/mellow/pioneer/11""}"
12,12,19,created,2025-03-07 05:06:27,"{""short_code"":""5HCAim"",""original_url"":""https://relay.cloud/young/river/12""}"
13,13,369,created,2025-04-13 09:52:08,"{""short_code"":""nInOdp"",""original_url"":""https://example.com/opal/meadow/13""}"
14,14,378,created,2025-02-16 10:44:18,"{""short_code"":""auvcmM"",""original_url"":""https://acme.dev/opal/meadow/14""}"
15,15,253,created,2025-01-28 22:14:59,"{""short_code"":""LWzkuV"",""original_url"":""https://seeded.app/brisk/yard/15""}"
16,16,272,created,2025-04-08 14:56:15,"{""short_code"":""UkpxCB"",""original_url"":""https://acme.dev/opal/signal/16""}"
17,17,171,created,2025-01-09 19:29:44,"{""short_code"":""36auX5"",""original_url"":""https://acme.dev/ivory/valley/17""}"
18,18,85,created,2026-02-17 12:23:19,"{""short_code"":""hcicmG"",""original_url"":""https://acme.dev/cobalt/journey/18""}"
19,19,327,created,2025-11-30 19:12:47,"{""short_code"":""RlCfTW"",""original_url"":""https://acme.dev/navy/uplink/19""}"
20,20,321,created,2025-05-18 08:29:44,"{""short_code"":""fIJUvS"",""original_url"":""https://example.com/vivid/lagoon/20""}"
21,21,141,created,2025-06-25 18:13:26,"{""short_code"":""UTnCAm"",""original_url"":""https://relay.cloud/ivory/uplink/21""}"
22,22,111,created,2025-04-24 05:28:23,"{""short_code"":""COzgQZ"",""original_url"":""https://opswise.net/mellow/valley/22""}"
23,23,165,created,2025-10-25 06:12:16,"{""short_code"":""mUsHIO"",""original_url"":""https://seeded.app/forest/yard/23""}"
24,24,298,created,2025-11-05 17:35:47,"{""short_code"":""UavbHH"",""original_url"":""https://seeded.app/cobalt/river/24""}"
25,25,196,created,2025-08-07 05:47:30,"{""short_code"":""qo20O0"",""original_url"":""https://seeded.app/keen/delta/25""}"
26,26,283,created,2025-07-28 01:53:18,"{""short_code"":""6Ouhw0"",""original_url"":""https://relay.cloud/rapid/anchor/26""}"
27,27,54,created,2025-07-14 19:57:43,"{""short_code"":""6Tgeuc"",""original_url"":""https://hackstack.io/gold/quartz/27""}"
28,28,373,created,2026-01-19 07:06:49,"{""short_code"":""CZlK3d"",""original_url"":""https://hackstack.io/warm/engine/28""}"
29,29,287,created,2026-02-07 12:32:11,"{""short_code"":""o1mivJ"",""original_url"":""https://relay.cloud/forest/valley/29""}"
30,30,109,created,2025-04-07 08:37:57,"{""short_code"":""6z4xfm"",""original_url"":""https://example.com/rapid/quartz/30""}"
31,31,53,created,2025-08-15 08:05:56,"{""short_code"":""fecoFD"",""original_url"":""https://opswise.net/warm/beacon/31""}"
32,32,208,created,2025-12-20 12:31:27,"{""short_code"":""5O8tpk"",""original_url"":""https://hackstack.io/urban/harvest/32""}"
33,33,51,created,2025-12-01 15:40:12,"{""short_code"":""eTXb7C"",""original_url"":""https://hackstack.io/forest/trail/33""}"
34,34,168,created,2025-06-26 08:29:59,"{""short_code"":""byQSZS"",""original_url"":""https://example.com/keen/zenith/34""}"
35,35,219,created,2025-06-09 13:52:59,"{""short_code"":""xH8wmJ"",""original_url"":""https://relay.cloud/urban/harvest/35""}"
36,36,124,created,2025-08-07 00:40:08,"{""short_code"":""k2hmtG"",""original_url"":""https://hackstack.io/opal/orbit/36""}"
37,37,176,created,2025-07-09 13:34:21,"{""short_code"":""3RVXNi"",""original_url"":""https://example.com/navy/garden/37""}"
38,38,6,created,2025-05-27 07:33:43,"{""short_code"":""CBSzuc"",""original_url"":""https://seeded.app/forest/engine/38""}"
39,39,29,created,2026-01-23 12:19:27,"{""short_code"":""r7IMhA"",""original_url"":""https://relay.cloud/amber/uplink/39""}"
40,40,391,created,2025-02-16 20:44:01,"{""short_code"":""JUzRU7"",""original_url"":""https://hackstack.io/brisk/uplink/40""}"
41,41,270,created,2025-09-27 09:36:39,"{""short_code"":""42r4ad"",""original_url"":""https://opswise.net/opal/orbit/41""}"
42,42,23,created,2025-11-22 04:05:50,"{""short_code"":""ITLVRo"",""original_url"":""https://opswise.net/urban/garden/42""}"
43,43,4,created,2025-10-25 03:35:14,"{""short_code"":""WR1rr4"",""original_url"":""https://example.com/harbor/quartz/43""}"
44,44,323,created,2025-09-01 04:47:48,"{""short_code"":""tnDBvF"",""original_url"":""https://seeded.app/ivory/orbit/44""}"
45,45,271,created,2025-04-19 06:26:56,"{""short_code"":""BjXuD9"",""original_url"":""https://acme.dev/gold/yard/45""}"
46,46,372,created,2025-10-07 15:01:55,"{""short_code"":""vWnSEs"",""original_url"":""https://relay.cloud/keen/delta/46""}"
47,47,52,created,2025-01-07 02:28:58,"{""short_code"":""QSSx1s"",""original_url"":""https://relay.cloud/cobalt/quartz/47""}"
48,48,2,created,2025-04-07 08:22:06,"{""short_code"":""jO6VpZ"",""original_url"":""https://hackstack.io/cobalt/signal/48""}"
49,49,394,created,2025-04-11 16:51:27,"{""short_code"":""lb2VX4"",""original_url"":""https://opswise.net/urban/journey/49""}"
50,50,267,created,2025-03-11 04:32:26,"{""short_code"":""d0PcJu"",""original_url"":""https://relay.cloud/harbor/anchor/50""}"
51,51,342,created,2025-02-19 12:31:02,"{""short_code"":""V6Rbuu"",""original_url"":""https://acme.dev/navy/lagoon/51""}"
52,52,317,created,2025-04-07 13:15:57,"{""short_code"":""sje9UK"",""original_url"":""https://seeded.app/keen/anchor/52""}"
53,53,146,created,2025-06-06 00:40:31,"{""short_code"":""iwFsU0"",""original_url"":""https://opswise.net/dawn/zenith/53""}"
54,54,220,created,2025-05-27 04:10:54,"{""short_code"":""WI7jDG"",""original_url"":""https://opswise.net/forest/field/54""}"
55,55,300,created,2025-06-21 10:19:37,"{""short_code"":""nZ2GkA"",""original_url"":""https://opswise.net/forest/anchor/55""}"
